RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Rua Senador Felício dos Santos,01511010,600,3,1,4,2000000
Jardim Textil,03413020,350,4,1,3,1600000
Rua Porto Torres,04788120,600,4,7,10,3700000
Jardim América,01441000,420,3,4,6,8900000
Rua João Geraldo,04895042,115,3,2,2,480012
Rua Suécia,01446000,872,4,7,7,18000000
Rua Bela Vista,04849567,200,2,1,4,1650000
Rua Tenente Azevedo,01528020,128,3,3,2,950000
Rua Roque Petrella,04581050,160,3,3,1,850000
Jardim Everest,05601000,500,3,5,6,6000000
Rua Cardeal Cagliori,05454030,400,4,5,4,3500000
Jardim Guedala,05608020,760,5,8,9,7500000
Rua Almirante Soares Dutra,05654000,450,5,7,4,2150000
Rua Luís Araújo Faria,05633040,150,3,1,3,640000
Rua Itaquera,01246030,400,6,7,4,2800000
Rua Choneco,03657060,210,3,1,4,840000
Rua São Luís,08320720,90,3,3,2,750000
Jardim Morumbi,05693000,350,4,3,4,2450000
Rua Honduras,04379095,917,5,8,10,17500000
Rua Puréus,05610000,650,4,6,6,6300000
Rua Araioses,05442010,179,3,4,4,1590000
Rua Ferdinando Laboriau,01250040,420,4,4,6,3480000
Rua Doutor José Maria do Vale,04111030,260,3,4,3,1900000
Rua Antônio Gomes Correa,05767310,206,3,3,2,510000
Rua Fonseca da Costa,04151060,271,4,4,8,2500000
Cidade Jardim,01453000,650,4,6,6,4800000
Rua Ernesto Fogo,03387000,160,3,2,2,480000
Rua Izonzo,04249000,200,3,2,2,650000
Alameda Uapixana,04085030,138,4,3,3,1250000
Vila Mazzei,02314001,140,3,2,2,700000
Rua Bandim,05470040,520,4,6,7,4200000
Alto da Lapa,05083010,300,4,4,5,2650000
Rua Doutor Nelson Cayres de Britto,05368010,210,3,2,2,700000
Chácara Santo Antônio (Zona Sul),04716090,130,3,2,1,1200000
Rua José de Freitas Guimarães,01237010,400,3,4,4,2150000
Boaçava,05469020,650,4,5,6,9000000
Rua dos Miranhas,05434040,250,5,4,3,2650000
Avenida Lins de Vasconcelos,01537000,198,3,2,6,950000
Vila Nova Conceição,04507000,250,3,3,3,3500000
Rua Baré,05046030,450,3,3,3,3800000
Rua Aldo Samarão Guimarães Filho,05367210,310,4,3,7,740000
Rua das Tuias,05675140,746,5,5,3,4600000
Alto de Pinheiros,05462050,480,4,4,4,3250000
Rua Frederico Von Martius,01548010,299,3,5,2,1400000
Jardim Leonor,02348170,318,3,5,4,1900000
Rua Joazeiro,01253030,550,3,6,6,3600000
Rua Maestro Elias Lobo,01433000,224,3,3,2,3000000
Rua Francisco Cioffi,03188060,329,4,6,4,1900000
Rua Luís César Pannain,05059130,340,3,6,4,2700000
Rua Guaones,05610010,600,4,7,6,5000000
Rua dos Viajantes,04261150,165,4,5,2,980000
Caxingui,05579000,580,5,7,8,3000000
Rua Espírito Santo,08022110,200,3,4,6,1200000
Rua Doutor Luís Augusto de Queirós Aranha,05453000,147,3,3,2,1200000
Rua Caçador de Esmeraldas,04274050,165,2,2,2,840000
Rua Jaime Cortezão,04720050,636,6,5,4,4412000
Jardim Everest,05601000,679,4,5,4,3500000
Rua Dom Luís Felipe de Orleans,02118000,100,2,2,1,499998
Rua Teodoro Ramos,01250020,280,3,3,4,2850000
Rua Horácio Bandieri,05653030,1050,5,10,6,7500000
Alameda Campinas,01404000,173,2,2,2,3540000
Brooklin Paulista,04578000,240,3,4,2,2250000
Rua Princesa Isabel,04601000,80,2,2,2,850000
Rua Joel Jorge de Melo,04128080,90,2,2,1,799000
Praça Cruzador Bahia,05620090,300,4,5,4,1950000
Rua Campo Verde,01456010,329,4,6,4,6500000
Travessa Doutor Ezequiel Antunes de Oliveira,04544120,170,3,5,3,2850000
Vila Andrade,05724030,188,3,5,5,950000
Jardim da Saúde,04291070,140,3,2,3,800000
Rua João de Sousa Dias,02355250,100,3,3,1,1200000
Rua Peixe Vivo,04772100,339,3,2,3,720000
Rua Banibás,05460010,496,5,6,7,6800000
Rua Majubim,05468080,118,3,4,2,1200000
Avenida Morumbi,05606010,800,7,7,4,3500000
Rua Pedro Teixeira,04550010,130,3,2,1,1100000
Vila Nova Conceição,04507000,150,2,3,1,2500000
Rua Honduras,04379095,1000,5,6,7,8000000
Rua Comendador Elias Zarzur,04736000,500,4,10,4,3700000
Rua Winifred,03424010,147,3,3,2,1300000
Rua Espírito Santo,08022110,250,6,4,2,1940000
Rua Januário Miraglia,04507020,240,1,3,3,6000000
Rua Corneteiro Jesus,02336030,170,3,5,2,1290000
Rua Doutor Jacques Tupinambá,04460000,103,3,2,2,390000
Pinheiros,05187635,200,3,5,3,2500000
Santo Amaro,04745000,440,4,4,6,1980000
Pacaembu,01155000,359,4,5,4,3400000
Rua Argentina,01436010,1100,5,6,8,30000000
Rua São Fortunato,04783050,320,3,3,2,1290000
Jardim Colombo,05629090,169,3,4,4,970000
Rua Maria Curupaiti,02452000,109,3,2,1,800000
Jardim Guedala,05608020,800,5,7,6,4000000
Rua Próspero Cesarino Paoliello,05540140,130,2,2,2,640000
Rua dos Jequitibás,05263030,760,4,1,4,3500000
Rua Doutor Olívio Uzeda Moreira,05468120,120,2,2,1,1900000
Vila Mariana,04112015,180,3,2,2,870000
Rua José Ricardo Athayde Marcondes,05622030,273,3,5,3,2500000
Jardim Guedala,05608020,496,4,1,4,3000000
Rua Santos Dumont,08223268,567,5,9,4,3490000
Vila Cordeiro,04583105,184,3,4,4,1700000
Rua Jaguanambi,05672030,456,4,8,3,2590000
Rua Albina Barbosa,01530020,240,4,4,3,1999900
Rua Silveira Sampaio,05656010,1000,5,7,4,6500000
Rua Duílio Santo Suosso,04187120,180,4,5,6,1360000
Rua Padre Manuel Luís de Vergueiro,03476000,220,3,2,4,500000
Rua Laiana,05470000,360,3,7,6,5500000
Rua Joazeiro,01253030,550,3,7,6,3600000
Rua Godói Preto,03018020,180,5,3,5,1600000
Rua Xerentes,05008020,160,3,1,1,1590000
Rua Santo Eufredo,05611070,763,4,5,5,5400000
Vila Nair,04280060,120,2,2,2,650000
Vila Cordeiro,04583105,169,3,4,2,1250000
Vila Progredior,05618000,260,3,3,3,1500000
Rua Marie Nader Calfat,05713520,20,3,2,2,800000
Rua Blumenau,05319020,125,3,4,2,695000
Jardim Monte Kemel,05635090,189,4,5,3,799000
Quinta da Paineira,03153002,260,3,3,3,720000
Rua Caropá,05447000,217,4,5,4,1800000
Rua Plínio Salgado,05537080,151,2,2,3,1500000
Rua Frederico Von Martius,01548010,300,3,5,2,1399900
Rua Amílcar Barbuy,05121110,180,4,5,3,1200000
Rua Almirante Pereira Guimarães,01250001,700,5,5,16,5897000
Rua Demóstenes,02472120,119,2,2,2,850000
Rua Pero Correia,04113040,296,4,6,3,1300000
Rua Ita,08451180,135,3,2,2,499000
Rua Marcelino Champagnat,04114000,250,4,4,2,1600000
Rua General Manuel Vargas,04320000,96,3,1,2,658000
Perdizes,05036175,200,3,3,2,997000
Chácara Monte Alegre,04646030,454,3,5,3,3300000
Praça Pinheiro da Cunha,04275050,174,3,3,4,900000
Rua Caixanas,05612030,551,4,8,6,5000000
Rua Cambará,03188040,170,3,4,4,1050000
Jardim Leonor,02348170,550,4,5,4,3500000
Rua Agostinho Gomes,04206000,150,2,3,2,1020000
Rua Conselheiro Torres Homem,01432010,250,4,5,4,4900000
Rua Groenlândia,01434000,815,4,8,4,25000000
Jardim Gonzaga,03756090,378,10,8,8,950000
Rua Palmares,04840800,315,4,5,5,1700000
Vila Madalena,05444015,223,4,3,3,1900010
Rua Nestor Moreira,01547040,234,3,1,2,1500000
Liberdade,01503000,90,3,2,1,600000
Rua Amsterdam,04333020,124,3,2,2,600000
Jardim Campo Grande,04686002,190,3,3,4,1500000
Rua Colombo Florence,04257045,370,3,3,6,930000
Rua Dom Sebastião do Rego,04129000,174,3,2,2,750000
Rua Nova York,04560000,350,3,1,3,2500000
Avenida Amarilis,05673030,840,4,7,8,5900000
Vila Carrão,03425060,350,3,3,8,1200000
Rua Joaquim de Almeida,02844000,90,3,1,2,1100000
Rua Perucaba,03409010,290,2,3,5,1700000
Pacaembu,01155000,300,4,5,6,2450000
Vila Ida,05455000,490,5,5,10,2400000
Rua Messina,02347090,260,3,5,6,1600000
Rua Tomé Portes,04623050,266,4,5,2,1500000
Avenida Padre Pereira de Andrade,05469000,312,3,4,5,3150000
Avenida Professor Fonseca Rodrigues,05461010,566,4,5,4,8599000
Rua Ascânio,02870120,180,3,1,2,586000
Avenida Professor Fonseca Rodrigues,05461010,627,4,6,4,7600000
Vila Madalena,05444015,170,2,3,2,1690000
Rua Desembargador Teodomiro Dias,05540080,110,3,1,1,700000
Rua Guinle,01548040,198,4,2,3,1600000
Rua Ribeiro do Vale,04568000,230,3,2,5,1700000
Rua Mário Barbosa Rodrigues,04788160,392,4,5,4,1700000
Rua Ponta Porã,05058000,220,3,3,3,1300000
Jardim Morumbi,05693000,617,4,6,8,3700000
Rua Açaré,05463060,212,3,3,3,2240000
Rua Aurora Contieri,05441060,204,3,5,2,2000000
Rua Dona Brígida,04857455,265,4,3,2,2200000
Rua Maria Teresa Assunção,03609000,160,3,3,2,636000
Jardim Guedala,05608020,1452,4,5,14,16000000
Jardim Londrina,05640000,400,4,5,4,1600000
Rua Visconde de Ourem,04632020,100,2,2,1,490000
Rua Chiquinha Rodrigues,05517010,214,3,3,4,1800000
Rua Sofia,01447030,350,4,6,3,5850000
Jardim Leonor,02348170,584,6,7,6,2200000
Rua Diogo Rodrigues Marques,04677040,100,3,2,4,735000
Rua Gomes Freire,05075010,161,3,2,2,920000
Rua Comendador Joaquim Gomes de Oliveira,04709050,110,2,2,1,740000
Rua Manduri,01457020,750,5,8,5,10300000
Rua João Batista Leme da Silva,05449030,170,3,3,2,1500000
Rua Guaianaz da Fonseca,05451050,220,4,5,4,1790000
Travessa Doutor Adilson Rodrigues,04128010,140,3,2,1,660000
Rua Antilhas,01438080,600,5,4,8,12000000
Jardim da Saúde,04291070,200,3,1,2,1500000
Alto de Pinheiros,05462050,349,4,2,5,3500000
Rua Laerte Assunção,01444040,400,4,6,5,7000000
Rua Doutor Octávio de Oliveira Santos,04558070,300,4,5,3,1350000
Vila Cruzeiro,04726170,165,3,3,3,1600000
Rua Dom Tomás Costa e Lima,05692020,388,3,6,5,4890000
Morumbi,05606010,300,3,3,4,1950000
Rua Henrique Martins,04504000,723,3,6,4,18000000
Jardim Europa,01449001,400,4,5,6,5700000
Rua Turi,05443050,90,2,1,1,1700000
Avenida Diógenes Ribeiro de Lima,05458000,255,4,3,3,3950000
Vila Jacuí,08060120,71,2,3,1,390000
Rua Márcio Humberto Gandolpho,02466010,150,3,2,2,650000
Rua Gradau,03201010,110,2,3,2,485000
Rua Francisco Dias,03383110,121,3,3,2,1300000
Rua Domingos Neto,04401110,80,1,1,2,450000
Rua Cruzeiro,01137000,150,2,2,1,430000
Rua Afonso Bandeira de Melo,04613060,277,3,2,2,1400000
Jardim Brasil (Zona Sul),04634010,180,3,3,3,870000
Rua Milton Strenger,05325010,150,3,2,2,750000
Parque São Lucas,03220100,367,12,5,4,950000
Chácara Santo Antônio (Zona Sul),04716090,420,4,6,5,5490000
Rua Itaperuna,01247010,1000,4,9,4,11990000
Rua Apinajés,05017000,140,3,2,1,1380000
Jardim Guedala,05608020,900,5,7,10,5800000
Pinheiros,05187635,800,4,7,6,14500000
Rua da Constituinte,04204030,160,3,4,3,1250000
Rua Bernardo Sanches,05684040,533,3,5,6,2200000
Avenida Ireré,04064000,400,4,5,3,2758000
Lar São Paulo,05639075,94,2,2,2,550000
Rua Amandaba,04648140,205,3,3,4,1200000
Rua Coronel Irlandino Sandoval,01457010,390,4,4,5,5050000
Butantã,05587155,400,3,4,4,4490000
Morumbi,05606010,455,3,5,3,4850000
Rua Otávio Tarquínio de Souza,04613000,214,3,4,3,1300000
Rua Francisco de Paula Brito,04071050,250,4,6,4,2150000
Avenida Ibirapuera,04029000,200,3,2,1,1300000
Rua Monsenhor Manuel Vicente,04120000,200,3,3,2,1200000
Rua Fabiano Alves,03139010,160,3,3,2,899000
Vila Madalena,05444015,604,4,5,6,12000000
Rua Nicolau Barreto,03047010,85,2,1,1,530000
Rua Banibás,05460010,400,4,6,4,4400000
Rua Carpina,05601020,600,6,5,6,3700000
Alameda dos Guaicanãs,03720055,202,3,3,2,1390000
Jardim Monte Kemel,05635090,200,3,1,2,630000
Rua Padre Manuel de Chaves,01448050,120,3,3,2,2500000
Rua dos Manacás,05672040,377,4,6,4,3800000
Rua Inácio Manuel Álvares,05372110,178,3,4,5,770000
Rua Cinco de Julho,04281000,130,3,3,3,750000
Rua Apinajés,05017000,246,3,3,3,2700000
Rua Nicolau Barreto,03047010,177,4,6,2,1500000
Rua Jorge Faleiros,04342110,190,3,2,3,480000
Rua Henrique Jacobs,03566010,211,3,3,4,699000
Rua Gassipós,04019090,210,3,4,4,2150000
Jardim Floresta,04836130,140,3,3,3,340000
Rua Engenheiro Reynaldo Cajado,03061030,200,3,3,4,1270000
Rua Brás Lourenço,04113110,216,3,1,3,950000
Jardim Guedala,05608020,900,5,10,10,5800000
Rua Boytac,05673080,500,5,8,5,10700000
Rua Capricho,02254000,179,3,2,6,620000
Avenida Aratãs,04081000,140,2,2,2,1800000
Rua Pedro Nascimento Ferrador,03128120,117,3,2,2,760000
Rua São Luís do Paraitinga,03152070,284,3,3,8,780000
Rua Avaí,03188020,73,2,2,2,480000
Jardim América,01441000,1000,5,7,10,19000000
Chácara Mafalda,03370010,155,2,1,2,400000
Jardim Leonor,02348170,654,5,9,8,4200000
Rua Bolívia,01437040,976,5,9,10,16000000
Vila Madalena,05444015,302,4,8,3,2800000
Jardim Leonor,02348170,492,4,5,8,3500000
Jardim Paulistano,01451001,490,4,2,5,7000000
Rua Canumã,04642040,396,4,5,6,4100000
Rua Joazeiro,01253030,550,3,5,5,3900000
Rua Itapiru,04143010,128,2,2,3,960000
Rua Mariano Procópio,01548020,360,3,6,5,1700000
Rua Irmão Justino Luís,01551060,260,4,2,4,1100000
Jardim Europa,01449001,722,6,8,4,8500000
Jardim Taboão,05742070,83,3,3,2,550000
Avenida Camilo Castelo Branco,04130020,145,2,1,2,905000
Rua Jácomo Passarelli,04787090,400,5,8,12,1390000
Rua Alto do Bonfim,04382070,200,3,3,2,860000
Avenida Ramalho Ortigão,04130010,110,2,1,2,710000
Jardim Monte Kemel,05635090,125,3,4,2,690000
Rua Caiapônia,05468050,180,3,5,2,1675000
Morumbi,05606010,1100,4,7,8,4900000
Rua Doutor Valentino Sola,04114010,214,3,1,4,1800000
Rua Maracaí,01534030,400,4,2,4,2500000
Vila Esperança,03648000,85,3,3,1,385000
Rua Sales Júnior,05083070,150,2,1,1,1100000
Rua Dom Henrique,04032120,765,5,7,6,29780000
Travessa Carrancas,02205140,103,3,2,2,352800
Rua Pedro Gabriel,03317007,56,2,1,2,510000
Rua dos Tamanás,05444010,519,4,4,3,2490000
Rua Itacuruçá,04367030,82,1,1,4,410000
Jardim Leonor,02348170,627,4,5,10,3700000
Avenida Itacira,04061000,300,4,3,3,2000000
Rua Bastos Pereira,04507010,750,6,6,7,8500000
Butantã,05587155,277,4,5,3,1650000
Rua José de Freitas Guimarães,01237010,400,3,3,4,2200000
Vila Morumbi,05688100,800,5,6,2,2200000
Rua Juréia,04140110,190,3,2,2,691000
Travessa Doutor Adilson Rodrigues,04128010,120,3,2,1,670000
Rua Campo Verde,01456010,142,3,3,2,2200000
Rua Joaquim Lima de Moraes,04710140,215,3,5,2,1500000
Morumbi,05606010,800,4,5,6,4100000
Rua Juvelina Ferreira de Assis,03449060,130,3,3,2,530000
Bosque da Saúde,04142080,165,2,4,2,750000
Campo Belo,04880250,320,3,5,2,1729000
Rua Olegário Mariano,05612000,837,4,9,10,7700000
Alameda dos Auetis,04059050,193,3,3,3,1300000
Rua Manuel Justiniano Quintão,02728020,278,4,4,4,980000
Rua Amaro Cavalheiro,05425010,120,3,2,1,1350000
Rua Domingos Lopes,04606050,180,3,4,2,1050000
Rua Joshey Leão,03211090,135,4,4,2,600000
Rua Aldo de Azevedo,05453030,290,5,6,3,5000000
Rua Rio de São Francisco,05240000,600,3,4,5,1900000
Jardim Europa,01449001,480,4,5,4,15000000
Alameda Olga,01155040,300,1,3,2,1300000
Rua Ribeiro Lisboa,05657020,960,5,1,6,3900000
Rua Sérgio Milliet,04663060,280,3,3,5,1800000
Rua Padre Tiago Mattioli,05033030,91,2,2,1,720000
Avenida Doutor Cardoso de Melo,04548000,115,2,2,1,1880000
Rua Acutiranha,05679000,510,4,4,4,3950000
Rua Antônio Lourenço,02334070,242,4,5,2,1300000
Rua Apinajés,05017000,145,2,3,1,1330000
Alto da Boa Vista,04715000,595,4,5,4,3000000
Rua Antônio Augusto Covello,01550060,200,3,3,2,1300000
Rua Dom Henrique,04032120,360,3,2,2,4400000
Rua Epeira,05447020,195,3,2,2,1950000
Rua Carlos Vítor Cocozza,04017090,230,3,2,2,2370000
Rua Pascoal Gomes de Lima,02357070,88,3,3,3,460000
Jardim Ester,05372140,120,3,1,2,380000
Rua Doutor Plínio do Amaral,04288160,135,3,1,2,750000
Rua dos Malmequeres,05675090,447,4,4,2,3500000
Rua Hugo Cacuri,05578030,190,3,1,2,1300000
Alameda dos Guaiases,04079010,650,4,5,6,1750000
Jardim Marajoara,04660000,375,4,4,3,2300000
Rua Babitonga,04558060,165,3,3,4,1820000
Rua Otávio Alves Dundas,03249000,200,4,4,1,650000
Brooklin Paulista,04578000,300,5,7,6,2750000
Rua Henrique Martins,04504000,723,3,6,4,18000000
Rua Visconde de Sabóia,03237070,90,3,3,4,579000
Granja Julieta,04721060,907,6,1,4,2800000
Alto da Lapa,05083010,300,3,1,4,1100000
Morumbi,05606010,700,4,2,6,5500000
Vila Mariana,04112015,347,4,4,4,2700000
Alto de Pinheiros,05462050,453,3,4,4,4800000
Rua José de Freitas Guimarães,01237010,709,4,6,10,9600000
Vila Andrade,05724030,172,4,5,3,1000000
Rua Francisco Pais,04784080,350,2,1,2,690000
Brooklin Paulista,04578000,248,3,5,6,2500000
Rua Ipiranga,04633000,125,2,2,2,585000
Rua Alasca,01437020,650,5,6,8,17500000
Avenida Aratãs,04081000,140,2,3,4,1700000
Rua Gaspar Fernandes,01549000,168,4,2,4,1600000
Rua Ribeiro do Vale,04568000,315,4,2,7,2000000
Jardim Paulista,01404000,400,3,6,2,3800000
Rua Leucina,04318100,220,3,5,5,750000
Rua Campevas,05016010,150,2,2,2,1500000
Rua Cordeiro Galvão,05450020,442,3,6,4,3400000
Rua Dom Miguel Costa,04129060,112,3,2,2,765000
Rua Alfredo Norfini,04136140,200,4,1,2,1590000
Rua Iramaia,01450020,250,4,3,3,2300000
Cidade Jardim,01453000,400,4,6,4,4000000
Vila Medeiros,02205000,62,2,2,1,339900
Vila Ipojuca,05057100,75,2,1,1,545000
Rua Capital Federal,01259010,198,4,3,1,1600000
Rua Caativa,05059040,300,3,3,6,1650000
Rua Paris,01257040,150,3,2,3,2100000
Rua Comendador Júlio Pereira Lopes,04114120,380,4,1,5,1650000
Rua José Marti,08471120,240,3,3,3,1009900
Vila América,02928020,250,3,3,6,1300000
Santo Amaro,04745000,400,3,3,6,2395000
Vila Tramontano,05690020,350,3,5,4,1690000
Boaçava,05469020,420,3,3,4,2800000
Rua Soledade,01257070,250,4,4,2,1720000
Rua João de Santa Maria,04158070,184,4,6,3,1280000
Rua Doutor Ivan Maia de Vasconcelos,03552130,123,3,5,3,636000
Vila Analia,05752460,88,2,3,2,400000
Vila Nova Conceição,04507000,648,3,4,7,11000000
Jardim Guedala,05608020,580,3,8,6,2495000
Parque Santa Rita,08161510,210,3,2,3,550000
Jardim Paulista,01404000,560,4,8,10,8000000
Rua Palmares,04840800,550,4,4,4,2900000
Rua Campo Grande,05302050,190,3,5,3,2340000
Jardim Panorama,05677000,400,3,4,3,2280000
Rua Barão de Aguiar,04611040,200,3,2,3,1190000
Vila Moraes,04169000,300,3,4,4,1100000
Campo Belo,04880250,471,3,6,3,2800000
Vila Rui Barbosa,03734140,120,2,2,2,490000
Vila Cruzeiro,04726170,600,3,5,4,2800000
Jardim Leonor,02348170,250,3,4,3,1250000
Morumbi,05606010,500,4,7,7,5800000
Vila Carrão,03425060,95,2,1,2,590000
Rua Sofia,01447030,520,4,3,4,16000000
Rua Professor Adalgiso Pereira,04276060,210,4,4,2,730000
Jardim Guedala,05608020,650,5,4,6,3200000
Vila Bela,08346080,350,3,3,5,630000
Rua Abegoaria,05436170,350,3,6,2,2250000
Vila Santa Maria,02561000,37,1,1,1,259692
Jardim Guedala,05608020,933,4,8,8,8100000
Vila Romana,05045050,120,2,4,1,1250010
Rua Homero Sales,05126000,166,3,4,2,985000
Rua Flórida,02235010,134,2,3,2,1544000
Rua Cuxiponês,05030020,326,3,4,4,2050000
Chácara Santo Antônio (Zona Sul),04716090,150,3,2,2,1100000
City América,05101240,720,4,4,6,2350000
Rua Casa Forte,02336040,155,3,5,4,1290000
Alameda Franca,01422000,200,8,3,1,2600000
Rua José de Freitas Guimarães,01237010,400,2,6,5,2500000
Rua Maestro Savino de Benedictis,05379070,100,2,1,2,398000
Rua Fortunato Minozzi,02540110,114,3,1,2,450000
Rua Bernardino de Campos,04620000,320,3,5,2,1729000
Rua Antônio Gomide,04071070,133,3,5,2,1200000
Rua Oliveira Melo,04271000,125,2,2,2,580000
Rua Bernardino de Campos,04620000,320,3,5,2,1740000
Jardim Leonor,02348170,870,4,6,4,6900000
Jardim Amália,05892360,250,4,4,4,600000
Rua Almeida Ferraz,04357100,139,4,3,4,800000
Rua Dona Elisa Moraes Mendes,05449000,540,4,4,6,2950000
Avenida Lacerda Franco,01536000,85,3,1,1,650000
Parque da Vila Prudente,03138060,122,3,3,2,809000
Rua Grécia,04911080,261,3,2,2,5750000
Rua Aimberê,05018010,120,3,3,2,958000
Rua Primavera,04235220,300,3,3,2,3650000
Rua Itapaiuna,05707000,490,4,3,5,4500000
Rua Vasco Crevatin,04512020,300,3,4,3,7000000
Rua Passo da Pátria,05085000,266,4,5,5,2600000
Rua Leandro de Carvalho,01551010,272,2,4,6,1350000
Rua Tibiriçá,01107060,300,4,5,3,1400000
Rua Escócia,01450000,330,3,5,5,5200000
Rua Adonis,04240100,120,2,1,2,470000
Rua Doutor Elias Chaves,01205010,530,3,4,6,1300000
Rua Emboabas,04623010,235,4,1,3,800000
Chácara Monte Alegre,04646030,750,3,5,6,4800000
Jardim Paulistano,01451001,375,3,3,4,3600000
Interlagos,04661000,177,2,3,5,950000
Perdizes,05036175,440,3,6,6,4500000
Rua Ernesto Zuanella,05327060,230,3,4,4,990000
Jardim Petrópolis,04636000,148,3,4,2,1200000
Rua Horácio Bandieri,05653030,445,5,4,5,3500000
Rua Domingos Nogueira,05528250,70,2,2,2,355000
Rua Araporé,05608000,431,4,7,6,4000000
Jardim Cordeiro,04640230,600,4,7,6,3700000
Rua Princesa Leopoldina,05081090,150,3,2,4,1600000
Rua Pereira da Nóbrega,01549020,260,3,1,8,1600000
Rua Laplace,04622000,392,4,5,4,4280000
Rua Santos Torres,05415090,140,2,3,1,1915000
Rua Oliveira Lima,01541010,140,3,3,3,700000
Jardim Paulista,01404000,549,3,3,7,5900000
Rua Baltazar Gomes de Alarcão,04417270,335,4,2,3,750000
Avenida Piassanguaba,04060000,400,3,4,6,2210000
Rua França Júnior,04290010,476,3,3,2,1500000
Paineiras do Morumbi,05683060,850,5,4,6,5000000
Rua Félix Guilhem,05069000,85,2,1,4,550000
Rua Ermelinda Americano,05007050,200,3,3,2,1500000
Jardim dos Estados,04642080,539,4,6,4,5500000
Rua Santo Afonso,03632020,1100,10,8,10,3500000
Alameda dos Piratinins,04065050,266,4,4,3,1600000
Rua Bráz Cubas,04109040,140,4,2,1,1300000
Rua Alberto Faria,05459000,640,4,6,4,6850000
Brooklin Paulista,04578000,292,3,3,2,1600000
Jardim Luzitânia,04030000,360,4,6,4,7500000
Vila Ida,05455000,455,3,4,5,2600000
Rua Padre Melitón Viguera Penillos,05305070,154,3,3,2,958000
Rua Cláudio Xavier,03715120,170,3,2,5,650000
Rua Arandu,04562030,430,6,3,3,1800000
Retiro Morumbi,05692000,850,4,5,6,7500000
Granja Julieta,04721060,600,4,6,12,2700000
Rua Drava,04283000,300,3,1,6,1450000
Rua Dom Tomás Costa e Lima,05692020,388,3,5,8,4900000
Cidade Dutra,04837040,180,3,3,2,850000
Rua Martins,05511000,329,4,2,5,1500000
Vila Santana,08230115,318,3,2,7,1696000
Rua Carlos Rodrigues de Barros,02229020,130,3,5,3,584998
Praça José Pedro Leite Cordeiro,05086100,300,2,3,6,1645000
Rua Humberto I,04018030,110,2,2,1,850000
Rua José Osvaldo Ribeiro,03543160,125,3,2,1,585000
Rua Acarituba,04713010,400,4,6,5,3500000
Rua Jacob Maris,05532000,350,3,5,3,980000
Rua Luís Góis,04043000,100,4,2,3,650000
Travessa Estrela,05574250,240,6,5,1,500000
Rua Salto Grande,01257020,130,3,2,2,750000
Rua Doutor Nério Nunes,05848030,300,3,1,5,800000
Rua Nebraska,04560010,240,4,4,6,2950000
Rua João Maria Carmona,03521040,130,2,2,3,470000
Vila Cordeiro,04583105,177,3,5,2,1500000
Jardim Paulista,01404000,1000,5,7,6,16500000
Vila Canero,03191115,140,2,2,2,480000
Rua Herwis,03279000,160,3,2,4,462770
Rua República do Iraque,04611000,248,3,4,2,2350000
Rua França Carvalho,03182070,210,3,3,6,1300000
Avenida Pascoal da Rocha Falcão,04785000,300,4,4,3,990000
Rua Marina Cintra,01446060,480,4,5,4,5500000
Rua Batista de Oliveira,03359030,294,2,1,4,1914000
Brooklin Paulista,04578000,401,4,5,5,1850000
Vila Primavera,03389100,90,4,3,3,600000
Brooklin Paulista,04578000,200,3,2,3,1050000
Rua Deputado Fábio Aranha,01250060,447,4,5,4,4000000
Sumaré,04894499,345,5,4,3,2550000
Brasilândia,05835030,80,2,1,5,300000
Rua dos Povoadores,03412015,167,2,2,1,780000
Rua Maria Leonete da Silva Nóbrega,05454010,270,4,6,5,1950000
Rua Amaro Leite,04763060,312,3,2,2,760000
Rua Doutor Jesuíno de Abreu,05662010,285,4,5,6,1450000
Jardim Marajoara,04660000,96,3,2,2,690000
Rua Laurindo de Brito,05078100,230,5,4,4,1150000
Rua Miralta,05460020,534,4,2,4,5500000
Rua Doutor João Pinheiro,01429001,457,5,6,3,6500000
Vila Bela,08346080,92,3,2,2,600000
Rua Montanaro Canavese,03580180,150,3,2,4,685000
Rua Paulo Orozimbo,01535000,120,3,1,1,800000
Rua Honorato Faustino,05462060,215,3,2,10,3300000
Rua Barueri,03447090,65,2,1,3,480000
Rua dos Comerciários,04320030,422,3,5,6,1300000
Rua Vitor Costa,04150060,237,3,4,4,1400000
Jardim Europa,01449001,952,3,7,10,27000000
Rua Maringá,05020020,170,3,3,3,1900000
Jardim Leonor,02348170,450,4,4,4,4000000
Brooklin Paulista,04578000,140,3,3,2,1090000
Avenida Lasar Segall,02543010,460,3,4,2,772000
Rua Eusébio de Paula Marcondes,05398020,120,2,1,2,350000
Rua Campina da Taborda,04069050,350,3,4,2,1800000
Campo Belo,04880250,320,3,5,3,2200000
Rua Dona Balduína,01251020,320,4,7,3,3200000
Rua Doutor Paulo Queiroz,03951090,520,3,2,2,450000
Rua Ajuritiba,04348170,90,2,1,6,500000
Jardim Bonfiglioli,05593000,120,3,4,4,900000
Pacaembu,01155000,400,3,3,4,2100000
Santo Amaro,04745000,141,3,4,2,1570000
Brooklin Paulista,04578000,365,4,5,5,2800000
Rua Gomes Nogueira,04265010,144,3,1,2,850000
Rua Muribeca,05676080,450,4,2,3,3500000
Vila do Encontro,04324090,180,4,2,3,724000
