RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Rua Doutor Valentino Sola,04114010,231,4,5,6,1650000
Jardim Guedala,05608020,420,3,6,5,3500000
Rua Serenata,04856390,140,3,3,2,490000
Rua Eduardo da Silva Magalhães,05324000,350,5,7,7,2500000
Rua João Pedro,04709090,120,3,3,3,500000
Planalto Paulista,04072100,361,4,6,5,1490000
Rua Quirino Pucca,05048060,65,1,1,2,480000
Rua Guira,03983100,180,4,2,1,300000
Rua Teviot,04507050,363,4,6,4,5100000
Rua Coronel Melo de Oliveira,05011040,184,3,3,2,1272000
Jardim da Glória,01545110,230,3,3,4,1500000
Vila Ida,05455000,437,3,5,5,1850000
Rua Amélia da Silveira,02993170,176,3,4,2,620000
Rua Alberto Lohnhoff,02443010,88,3,3,1,455000
Rua Itália,08265035,713,5,7,6,26600000
Rua Constantino de Sousa,04605000,266,6,6,6,1750000
Rua José Ubaldo Lomônaco,04114080,430,5,6,4,3150000
Rua Bolívia,01437040,1060,4,5,9,11489000
Rua Faustino Augusto César,04402120,180,3,3,3,850000
Cidade Jardim,01453000,600,4,6,4,2200000
Rua dos Macunis,05444000,180,4,4,4,2400000
Rua Vergueiro,01504000,113,3,2,2,570000
Cidade Dutra,04837040,497,3,4,8,1300000
Rua Joaquim Lima de Moraes,04710140,224,3,4,2,1500000
Rua Jorge Fares,05805040,127,3,1,2,540000
Água Fria,02332000,190,3,4,4,750000
Parque Boturussu,03802010,60,2,5,1,251000
Belenzinho,02310040,124,4,3,1,595000
Rua Antônio Sales de Camargo,04137050,118,4,5,3,960000
Rua Croata,05056020,358,3,4,4,2160000
Rua Emílio Pedutti,05613010,546,4,7,6,3290000
Rua Açaré,05463060,252,3,5,4,2900000
Vila Ida,05455000,293,3,5,4,3650000
Jardim Panorama,05677000,639,4,8,4,3600000
Jardim Ampliação,05713530,160,3,4,3,860000
Rua Cristiano Viana,05411000,155,3,1,1,1300000
Lauzane Paulista,02443040,80,2,1,2,374500
Rua Aguaçaí,03035090,180,3,4,1,750000
Rua Muller Carioba,04291020,230,3,2,3,660000
Rua Olímpia Lemes da Silva,05541040,260,3,3,2,940000
Vila Sabrina,02140000,500,8,5,1,990000
Rua Frederico Von Martius,01548010,300,3,5,2,1350000
Alto de Pinheiros,05462050,360,3,5,4,4950000
Vila Olímpia,04551090,120,3,4,2,1550000
Rua Doutora Maria Augusta Saraiva,04545060,120,3,2,2,1550000
Rua Doutor Fausto de Almeida Prado Penteado,05678040,1643,4,5,10,4500000
Jardim Franca,02338020,381,4,4,6,1250000
Rua Banibás,05460010,750,5,5,8,6500000
Rua Comendador Gabriel Calfat,05621000,554,4,7,4,2750000
Santo Amaro,04745000,250,3,6,2,1600000
Rua Barbalha,05083020,229,3,2,2,949000
Rua Alfredo Pinheiro,05325000,200,3,2,2,710000
Rua Salvador Simões,04276000,198,3,4,3,972000
Rua Alexandre Teixeira,03519080,130,2,2,2,350000
Rua Irmã Amélia,03156150,147,3,3,3,820000
Alameda dos Apetupás,04058000,400,4,4,4,2100000
Rua Agrovila,04614030,178,3,3,3,1250000
Rua Doutor José Manoel de Figueiredo Netto,02020030,66,4,3,1,590000
Avenida Piassanguaba,04060000,260,3,5,2,2350000
Jardim Guedala,05608020,584,4,6,4,2950000
Travessa Palma,03411040,125,2,1,1,370000
Mooca,03110030,80,2,2,4,870000
Rua Roncador,08210370,100,3,1,2,340000
Rua Douro,04303180,831,4,8,4,16000000
Jardim América,01441000,617,4,4,8,9500000
Alto da Lapa,05083010,180,4,2,4,1290000
Rua Aquiramun,05446030,680,4,6,3,11700000
Vila Gustavo,02209040,129,3,2,2,750000
Rua Palmeira,03575110,120,3,3,2,550000
Rua Maestro Elias Lobo,01433000,191,3,4,1,2590000
Rua Bariri,03436010,170,3,2,4,630000
Rua Lourenço Castanho,04507110,280,4,3,8,3995000
Rua Costa Aguiar,04204000,220,3,4,4,1490000
Rua dos Franceses,01329010,1039,6,7,20,22000000
Rua Marechal Santos Barreto,03136110,101,3,4,2,600000
Rua Helena Ricceli Luchetti,03570310,160,3,2,2,580000
Sumaré,04894499,631,4,5,6,3500000
Jardim Franca,02338020,300,4,6,4,1600000
Rua Dinamarca,05212050,600,7,7,6,10600000
Pacaembu,01155000,306,4,3,2,2000000
Travessa Doutor Ezequiel Antunes de Oliveira,04544120,120,3,4,3,2850000
Rua Ximbó,04108040,140,4,3,4,800000
Rua Chico de Paula,02926000,354,5,5,6,1350000
Rua Gregório Lazzarini,08331130,120,3,3,4,380000
Rua Professor Guilherme Belfort Sabino,04678000,164,2,1,1,440000
Rua Califórnia,04891340,120,4,3,2,780000
Rua Thomaz Antônio Villani,02562000,140,3,2,3,780000
Rua Rodrigues de Campos Leite,05054030,135,3,4,2,799000
Rua Nélio Batista Guimarães,03802005,171,3,1,4,420000
Jardim Santo Amaro,04741175,240,2,4,6,1800000
Rua Ipomeias,03201050,36,2,1,1,190000
Rua Arapuã,04307070,180,3,3,2,559000
Jardim Ampliação,05713530,160,3,4,3,799000
Rua Kansas,04558000,200,3,1,10,2240000
Rua Amâncio Klein,05841090,160,6,3,4,550000
Vila Matilde,03541005,120,3,2,1,530000
Vila Ida,05455000,255,3,5,3,2200000
Rua Dorandia,02234080,100,4,3,4,600000
Avenida George Saville Dodd,05608020,770,4,1,6,7000000
Rua General Vitorino Monteiro,05053060,450,5,5,4,2100000
Rua São Borja,04320060,480,3,2,4,1060000
Rua José de Freitas Guimarães,01237010,400,2,5,3,2150000
Vila Prudente,03132050,296,3,5,6,1800000
Rua Doutor Octávio de Oliveira Santos,04558070,200,3,4,2,1070000
Jardim Guedala,05608020,400,4,3,4,1800000
Rua Cássio Martins Vilaça,01249000,288,4,5,3,2890000
Rua Deolinda de Oliveira,04160130,150,3,2,2,435000
Rua Mateus Clemente,05528080,180,3,4,3,450000
Rua Doutor Martins de Oliveira,05638030,300,4,4,2,1290000
Jardim Guedala,05608020,750,4,7,4,6900000
Rua Teviot,04507050,120,2,2,2,1620000
Vila Nova Conceição,04507000,190,3,3,2,2290000
Rua Professor Alfredo Ashcar,05621010,250,3,5,4,1200000
Rua Barão de Juparanã,03142030,230,5,5,2,990000
Vila Madalena,05444015,391,4,5,4,2850000
Rua Albertina,08111355,440,3,5,5,1780000
Travessa Doutor Ezequiel Antunes de Oliveira,04544120,170,3,5,3,2400000
Praça Doutor João Guilherme Flocke,05449080,380,7,5,6,3200000
Rua Laurindo Sbampato,02076040,130,3,2,2,660000
Rua Santos Dumont,08223268,763,5,6,4,3490000
Rua São Leônidas,04747010,232,3,2,3,1000000
Rua Iraci,01457000,136,3,4,3,1800000
Rua dos Franceses,01329010,125,3,2,2,1150000
Rua Madalena,05434090,488,4,6,3,2950000
Rua Murajuba,05467010,1530,4,6,6,9890000
Rua Doutor Roberto Moreira,05653060,700,3,8,6,4000000
Alto da Lapa,05083010,135,1,2,4,1550000
Rua Doutor Fausto de Almeida Prado Penteado,05678040,1643,4,5,10,3800000
Rua Professora Sebastiana Silva Minhoto,03316030,147,2,3,3,690000
Rua Caropá,05447000,192,3,3,2,1600000
Rua Meru,03141020,201,3,3,4,960000
Rua Mateus Martins do Prado,04902080,158,4,4,2,820000
Rua Gregório Paes de Almeida,05450000,280,3,3,4,2500000
Rua dos Alcatrazes,04644000,1300,5,8,9,10000000
Rua Ovídio Lopes,03804110,125,2,1,1,315000
Rua Lourenço de Azevedo,05624060,240,3,2,3,1300000
Rua Marcos Lopes,04513080,200,5,5,3,3880000
Jardim Camargo Novo,08121400,300,4,5,7,950000
Chácara Santo Antônio (Zona Sul),04716090,150,3,2,1,795000
Rua Pero Correia,04113040,350,6,4,10,1700000
Rua Iramaia,01450020,210,4,3,3,2300000
Jardim dos Estados,04642080,514,4,6,6,2800000
Rua Sampaio Vidal,01443000,237,3,4,3,3200000
Rua Américo Brasiliense,04715001,350,4,6,4,2200000
Rua Bernardino de Campos,04620000,320,3,5,2,1740000
Rua Mestre João,03461050,250,4,2,4,800000
Jardim Planalto,08040420,130,3,3,2,390000
Avenida Comendador Adibo Ares,05613000,686,5,6,5,3350000
Santana,08040420,300,4,6,4,1500000
Rua Professor Nova Gomes,05448100,261,3,5,2,1800000
Pacaembu,01155000,390,4,3,4,3500000
Rua José Ubaldo Lomônaco,04114080,430,5,6,4,3150000
Rua Ícaro Sydow,05678010,726,4,6,8,3600000
Jardim Patente Novo,04256215,219,3,3,2,475000
Rua Angatuba,01247000,380,3,4,2,5600000
Rua Joana Martins Castilho,04155040,200,2,2,3,540000
Jardim das Camélias,08050710,1700,4,7,13,3300000
Rua Miranda Guerra,04640000,250,4,4,3,1450000
Jardim Virginia Bianca,02355310,200,2,3,4,1090000
Rua Itatinga,01247020,350,4,6,4,3000000
Rua Baguassu,03344015,288,3,3,3,1980000
Rua Dona Germaine Burchard,05002060,110,3,1,2,1300000
Rua Luisiania,04560020,249,4,5,4,2200000
Jardim Morumbi,05693000,244,3,5,2,890000
Rua Pedro Madureira,02044140,270,3,3,3,1300000
Rua Bernardino Pinheiro,08021320,195,3,1,5,650000
Rua Pedro Rodrigues Marques,05757250,88,2,3,2,360000
Jardim Viana,05654010,273,3,4,3,1600000
Rua Matias Quevedo,08255090,100,2,2,1,300000
Jardim Franca,02338020,296,4,4,4,1550000
Rua Pirituba,04052120,120,2,2,2,1000000
Rua Rodolfo Arena,04164190,54,1,1,2,305000
